,id,roi,int,dist,index,time
0,cell2_HPCA,1,-0.1075,351,0,0.0
1,cell2_HPCA,1,-0.0155,351,1,1.0
2,cell2_HPCA,1,0.0133,351,2,2.0
3,cell2_HPCA,1,0.0835,351,3,3.0
4,cell2_HPCA,1,0.0262,351,4,4.0
5,cell2_HPCA,1,0.0124,351,5,5.0
6,cell2_HPCA,1,-0.2721,351,6,6.0
7,cell2_HPCA,1,-0.3656,351,7,7.0
8,cell2_HPCA,1,-0.4135,351,8,8.0
9,cell2_HPCA,1,-0.4568,351,9,9.0
10,cell2_HPCA,1,-0.4513,351,10,10.0
11,cell2_HPCA,1,-0.489,351,11,11.0
12,cell2_HPCA,1,-0.5272,351,12,12.0
13,cell2_HPCA,1,-0.5174,351,13,13.0
14,cell2_HPCA,1,-0.5376,351,14,14.0
15,cell2_HPCA,1,-0.5235,351,15,15.0
16,cell2_HPCA,1,-0.5392,351,16,16.0
17,cell2_HPCA,1,-0.5482,351,17,17.0
18,cell2_HPCA,1,-0.5196,351,18,18.0
19,cell2_HPCA,1,-0.5037,351,19,19.0
20,cell2_HPCA,1,-0.534,351,20,20.0
21,cell2_HPCA,1,-0.5286,351,21,21.0
22,cell2_HPCA,1,-0.5343,351,22,22.0
23,cell2_HPCA,1,-0.5292,351,23,23.0
24,cell2_HPCA,1,-0.5667,351,24,24.0
25,cell2_HPCA,1,-0.5195,351,25,25.0
26,cell2_HPCA,1,-0.4616,351,26,26.0
27,cell2_HPCA,1,-0.4308,351,27,27.0
28,cell2_HPCA,1,-0.4723,351,28,28.0
29,cell2_HPCA,1,-0.4151,351,29,29.0
30,cell2_HPCA,1,-0.3609,351,30,30.0
31,cell2_HPCA,1,-0.3065,351,31,31.0
32,cell2_HPCA,1,-0.3412,351,32,32.0
33,cell2_HPCA,1,-0.3128,351,33,33.0
34,cell2_HPCA,1,-0.3135,351,34,34.0
35,cell2_HPCA,1,-0.2978,351,35,35.0
36,cell2_HPCA,1,-0.2696,351,36,36.0
37,cell2_HPCA,1,-0.2924,351,37,37.0
38,cell2_HPCA,1,-0.262,351,38,38.0
39,cell2_HPCA,1,-0.2536,351,39,39.0
40,cell2_HPCA,1,-0.3291,351,40,40.0
41,cell2_HPCA,1,-0.3337,351,41,41.0
42,cell2_HPCA,1,-0.3414,351,42,42.0
43,cell2_HPCA,1,-0.3486,351,43,43.0
44,cell2_HPCA,1,-0.3706,351,44,44.0
45,cell2_HPCA,1,-0.3405,351,45,45.0
46,cell2_HPCA,1,-0.3555,351,46,46.0
47,cell2_HPCA,1,-0.3879,351,48,47.0
48,cell2_HPCA,2,0.0652,307,0,0.0
49,cell2_HPCA,2,0.0183,307,1,1.0
50,cell2_HPCA,2,-0.0396,307,2,2.0
51,cell2_HPCA,2,-0.0498,307,3,3.0
52,cell2_HPCA,2,0.0059,307,4,4.0
53,cell2_HPCA,2,0.0408,307,5,5.0
54,cell2_HPCA,2,0.1099,307,6,6.0
55,cell2_HPCA,2,-0.0644,307,7,7.0
56,cell2_HPCA,2,-0.1499,307,8,8.0
57,cell2_HPCA,2,-0.17,307,9,9.0
58,cell2_HPCA,2,-0.18,307,10,10.0
59,cell2_HPCA,2,-0.1929,307,11,11.0
60,cell2_HPCA,2,-0.2005,307,12,12.0
61,cell2_HPCA,2,-0.1723,307,13,13.0
62,cell2_HPCA,2,-0.1851,307,14,14.0
63,cell2_HPCA,2,-0.264,307,15,15.0
64,cell2_HPCA,2,-0.2534,307,16,16.0
65,cell2_HPCA,2,-0.2499,307,17,17.0
66,cell2_HPCA,2,-0.2841,307,18,18.0
67,cell2_HPCA,2,-0.3036,307,19,19.0
68,cell2_HPCA,2,-0.2804,307,20,20.0
69,cell2_HPCA,2,-0.2787,307,21,21.0
70,cell2_HPCA,2,-0.2727,307,22,22.0
71,cell2_HPCA,2,-0.3107,307,23,23.0
72,cell2_HPCA,2,-0.3443,307,24,24.0
73,cell2_HPCA,2,-0.3539,307,25,25.0
74,cell2_HPCA,2,-0.3556,307,26,26.0
75,cell2_HPCA,2,-0.3822,307,27,27.0
76,cell2_HPCA,2,-0.2039,307,28,28.0
77,cell2_HPCA,2,-0.2773,307,29,29.0
78,cell2_HPCA,2,-0.2506,307,30,30.0
79,cell2_HPCA,2,-0.3246,307,31,31.0
80,cell2_HPCA,2,-0.2668,307,32,32.0
81,cell2_HPCA,2,-0.2396,307,33,33.0
82,cell2_HPCA,2,-0.2655,307,34,34.0
83,cell2_HPCA,2,-0.2499,307,35,35.0
84,cell2_HPCA,2,-0.2278,307,36,36.0
85,cell2_HPCA,2,-0.2229,307,37,37.0
86,cell2_HPCA,2,-0.2013,307,38,38.0
87,cell2_HPCA,2,-0.2376,307,39,39.0
88,cell2_HPCA,2,-0.2588,307,40,40.0
89,cell2_HPCA,2,-0.2548,307,41,41.0
90,cell2_HPCA,2,-0.209,307,42,42.0
91,cell2_HPCA,2,-0.2701,307,43,43.0
92,cell2_HPCA,2,-0.1851,307,44,44.0
93,cell2_HPCA,2,-0.2159,307,45,45.0
94,cell2_HPCA,2,-0.2527,307,46,46.0
95,cell2_HPCA,2,-0.2791,307,48,47.0
96,cell2_HPCA,3,0.0519,306,0,0.0
97,cell2_HPCA,3,-0.0286,306,1,1.0
98,cell2_HPCA,3,-0.0648,306,2,2.0
99,cell2_HPCA,3,0.0067,306,3,3.0
100,cell2_HPCA,3,0.0348,306,4,4.0
101,cell2_HPCA,3,0.0993,306,5,5.0
102,cell2_HPCA,3,-0.1174,306,6,6.0
103,cell2_HPCA,3,-0.2274,306,7,7.0
104,cell2_HPCA,3,-0.3529,306,8,8.0
105,cell2_HPCA,3,-0.3838,306,9,9.0
106,cell2_HPCA,3,-0.3365,306,10,10.0
107,cell2_HPCA,3,-0.4079,306,11,11.0
108,cell2_HPCA,3,-0.4021,306,12,12.0
109,cell2_HPCA,3,-0.3736,306,13,13.0
110,cell2_HPCA,3,-0.4218,306,14,14.0
111,cell2_HPCA,3,-0.3536,306,15,15.0
112,cell2_HPCA,3,-0.3617,306,16,16.0
113,cell2_HPCA,3,-0.2982,306,17,17.0
114,cell2_HPCA,3,-0.3084,306,18,18.0
115,cell2_HPCA,3,-0.2949,306,19,19.0
116,cell2_HPCA,3,-0.2803,306,20,20.0
117,cell2_HPCA,3,-0.2803,306,21,21.0
118,cell2_HPCA,3,-0.2794,306,22,22.0
119,cell2_HPCA,3,-0.3594,306,23,23.0
120,cell2_HPCA,3,-0.3411,306,24,24.0
121,cell2_HPCA,3,-0.2928,306,25,25.0
122,cell2_HPCA,3,-0.3204,306,26,26.0
123,cell2_HPCA,3,-0.301,306,27,27.0
124,cell2_HPCA,3,-0.3318,306,28,28.0
125,cell2_HPCA,3,-0.3258,306,29,29.0
126,cell2_HPCA,3,-0.3079,306,30,30.0
127,cell2_HPCA,3,-0.2977,306,31,31.0
128,cell2_HPCA,3,-0.2198,306,32,32.0
129,cell2_HPCA,3,-0.242,306,33,33.0
130,cell2_HPCA,3,-0.1787,306,34,34.0
131,cell2_HPCA,3,-0.1353,306,35,35.0
132,cell2_HPCA,3,-0.1337,306,36,36.0
133,cell2_HPCA,3,-0.1293,306,37,37.0
134,cell2_HPCA,3,-0.1031,306,38,38.0
135,cell2_HPCA,3,-0.1288,306,39,39.0
136,cell2_HPCA,3,-0.1722,306,40,40.0
137,cell2_HPCA,3,-0.1411,306,41,41.0
138,cell2_HPCA,3,-0.0604,306,42,42.0
139,cell2_HPCA,3,-0.0374,306,43,43.0
140,cell2_HPCA,3,-0.1165,306,44,44.0
141,cell2_HPCA,3,-0.0852,306,45,45.0
142,cell2_HPCA,3,-0.143,306,46,46.0
143,cell2_HPCA,3,-0.1288,306,48,47.0
144,cell2_HPCA,4,0.0211,310,0,0.0
145,cell2_HPCA,4,-0.0107,310,1,1.0
146,cell2_HPCA,4,0.0068,310,2,2.0
147,cell2_HPCA,4,0.0068,310,3,3.0
148,cell2_HPCA,4,-0.024,310,4,4.0
149,cell2_HPCA,4,-0.0444,310,5,5.0
150,cell2_HPCA,4,-0.066,310,6,6.0
151,cell2_HPCA,4,-0.1397,310,7,7.0
152,cell2_HPCA,4,-0.2022,310,8,8.0
153,cell2_HPCA,4,-0.2083,310,9,9.0
154,cell2_HPCA,4,-0.2595,310,10,10.0
155,cell2_HPCA,4,-0.238,310,11,11.0
156,cell2_HPCA,4,-0.2728,310,12,12.0
157,cell2_HPCA,4,-0.3025,310,13,13.0
158,cell2_HPCA,4,-0.321,310,14,14.0
159,cell2_HPCA,4,-0.2892,310,15,15.0
160,cell2_HPCA,4,-0.3773,310,16,16.0
161,cell2_HPCA,4,-0.322,310,17,17.0
162,cell2_HPCA,4,-0.3077,310,18,18.0
163,cell2_HPCA,4,-0.3333,310,19,19.0
164,cell2_HPCA,4,-0.3353,310,20,20.0
165,cell2_HPCA,4,-0.3548,310,21,21.0
166,cell2_HPCA,4,-0.3169,310,22,22.0
167,cell2_HPCA,4,-0.3015,310,23,23.0
168,cell2_HPCA,4,-0.3517,310,24,24.0
169,cell2_HPCA,4,-0.3619,310,25,25.0
170,cell2_HPCA,4,-0.3179,310,26,26.0
171,cell2_HPCA,4,-0.3527,310,27,27.0
172,cell2_HPCA,4,-0.3384,310,28,28.0
173,cell2_HPCA,4,-0.2708,310,29,29.0
174,cell2_HPCA,4,-0.32,310,30,30.0
175,cell2_HPCA,4,-0.2769,310,31,31.0
176,cell2_HPCA,4,-0.281,310,32,32.0
177,cell2_HPCA,4,-0.2442,310,33,33.0
178,cell2_HPCA,4,-0.2902,310,34,34.0
179,cell2_HPCA,4,-0.2575,310,35,35.0
180,cell2_HPCA,4,-0.2073,310,36,36.0
181,cell2_HPCA,4,-0.2247,310,37,37.0
182,cell2_HPCA,4,-0.2534,310,38,38.0
183,cell2_HPCA,4,-0.239,310,39,39.0
184,cell2_HPCA,4,-0.2595,310,40,40.0
185,cell2_HPCA,4,-0.195,310,41,41.0
186,cell2_HPCA,4,-0.2329,310,42,42.0
187,cell2_HPCA,4,-0.238,310,43,43.0
188,cell2_HPCA,4,-0.2524,310,44,44.0
189,cell2_HPCA,4,-0.2923,310,45,45.0
190,cell2_HPCA,4,-0.2565,310,46,46.0
191,cell2_HPCA,4,-0.2227,310,48,47.0
192,cell2_HPCA,5,0.0592,297,0,0.0
193,cell2_HPCA,5,0.0157,297,1,1.0
194,cell2_HPCA,5,-0.0179,297,2,2.0
195,cell2_HPCA,5,-0.0461,297,3,3.0
196,cell2_HPCA,5,-0.011,297,4,4.0
197,cell2_HPCA,5,-0.0261,297,5,5.0
198,cell2_HPCA,5,-0.1064,297,6,6.0
199,cell2_HPCA,5,-0.1894,297,7,7.0
200,cell2_HPCA,5,-0.2426,297,8,8.0
201,cell2_HPCA,5,-0.2383,297,9,9.0
202,cell2_HPCA,5,-0.2569,297,10,10.0
203,cell2_HPCA,5,-0.2809,297,11,11.0
204,cell2_HPCA,5,-0.3179,297,12,12.0
205,cell2_HPCA,5,-0.3238,297,13,13.0
206,cell2_HPCA,5,-0.3167,297,14,14.0
207,cell2_HPCA,5,-0.3717,297,15,15.0
208,cell2_HPCA,5,-0.3886,297,16,16.0
209,cell2_HPCA,5,-0.4142,297,17,17.0
210,cell2_HPCA,5,-0.4019,297,18,18.0
211,cell2_HPCA,5,-0.4071,297,19,19.0
212,cell2_HPCA,5,-0.4225,297,20,20.0
213,cell2_HPCA,5,-0.4372,297,21,21.0
214,cell2_HPCA,5,-0.4313,297,22,22.0
215,cell2_HPCA,5,-0.4676,297,23,23.0
216,cell2_HPCA,5,-0.4804,297,24,24.0
217,cell2_HPCA,5,-0.4826,297,25,25.0
218,cell2_HPCA,5,-0.4631,297,26,26.0
219,cell2_HPCA,5,-0.5198,297,27,27.0
220,cell2_HPCA,5,-0.5447,297,28,28.0
221,cell2_HPCA,5,-0.4832,297,29,29.0
222,cell2_HPCA,5,-0.481,297,30,30.0
223,cell2_HPCA,5,-0.4883,297,31,31.0
224,cell2_HPCA,5,-0.4884,297,32,32.0
225,cell2_HPCA,5,-0.4303,297,33,33.0
226,cell2_HPCA,5,-0.4269,297,34,34.0
227,cell2_HPCA,5,-0.421,297,35,35.0
228,cell2_HPCA,5,-0.4065,297,36,36.0
229,cell2_HPCA,5,-0.401,297,37,37.0
230,cell2_HPCA,5,-0.3997,297,38,38.0
231,cell2_HPCA,5,-0.4287,297,39,39.0
232,cell2_HPCA,5,-0.4288,297,40,40.0
233,cell2_HPCA,5,-0.4131,297,41,41.0
234,cell2_HPCA,5,-0.3652,297,42,42.0
235,cell2_HPCA,5,-0.3593,297,43,43.0
236,cell2_HPCA,5,-0.3655,297,44,44.0
237,cell2_HPCA,5,-0.3264,297,45,45.0
238,cell2_HPCA,5,-0.3357,297,46,46.0
239,cell2_HPCA,5,-0.3171,297,48,47.0
240,cell2_HPCA,6,-0.0246,290,0,0.0
241,cell2_HPCA,6,0.0122,290,1,1.0
242,cell2_HPCA,6,0.0084,290,2,2.0
243,cell2_HPCA,6,0.0035,290,3,3.0
244,cell2_HPCA,6,0.0005,290,4,4.0
245,cell2_HPCA,6,-0.0085,290,5,5.0
246,cell2_HPCA,6,-0.1013,290,6,6.0
247,cell2_HPCA,6,-0.2334,290,7,7.0
248,cell2_HPCA,6,-0.2753,290,8,8.0
249,cell2_HPCA,6,-0.3244,290,9,9.0
250,cell2_HPCA,6,-0.3276,290,10,10.0
251,cell2_HPCA,6,-0.342,290,11,11.0
252,cell2_HPCA,6,-0.3575,290,12,12.0
253,cell2_HPCA,6,-0.3232,290,13,13.0
254,cell2_HPCA,6,-0.3164,290,14,14.0
255,cell2_HPCA,6,-0.3109,290,15,15.0
256,cell2_HPCA,6,-0.3282,290,16,16.0
257,cell2_HPCA,6,-0.3544,290,17,17.0
258,cell2_HPCA,6,-0.3722,290,18,18.0
259,cell2_HPCA,6,-0.3915,290,19,19.0
260,cell2_HPCA,6,-0.371,290,20,20.0
261,cell2_HPCA,6,-0.3899,290,21,21.0
262,cell2_HPCA,6,-0.3921,290,22,22.0
263,cell2_HPCA,6,-0.3893,290,23,23.0
264,cell2_HPCA,6,-0.3909,290,24,24.0
265,cell2_HPCA,6,-0.4174,290,25,25.0
266,cell2_HPCA,6,-0.4053,290,26,26.0
267,cell2_HPCA,6,-0.4246,290,27,27.0
268,cell2_HPCA,6,-0.411,290,28,28.0
269,cell2_HPCA,6,-0.3612,290,29,29.0
270,cell2_HPCA,6,-0.3742,290,30,30.0
271,cell2_HPCA,6,-0.3293,290,31,31.0
272,cell2_HPCA,6,-0.3231,290,32,32.0
273,cell2_HPCA,6,-0.3237,290,33,33.0
274,cell2_HPCA,6,-0.2643,290,34,34.0
275,cell2_HPCA,6,-0.2661,290,35,35.0
276,cell2_HPCA,6,-0.2514,290,36,36.0
277,cell2_HPCA,6,-0.2387,290,37,37.0
278,cell2_HPCA,6,-0.256,290,38,38.0
279,cell2_HPCA,6,-0.2732,290,39,39.0
280,cell2_HPCA,6,-0.2843,290,40,40.0
281,cell2_HPCA,6,-0.2327,290,41,41.0
282,cell2_HPCA,6,-0.2358,290,42,42.0
283,cell2_HPCA,6,-0.2195,290,43,43.0
284,cell2_HPCA,6,-0.2561,290,44,44.0
285,cell2_HPCA,6,-0.2067,290,45,45.0
286,cell2_HPCA,6,-0.239,290,46,46.0
287,cell2_HPCA,6,-0.2226,290,48,47.0
288,cell2_HPCA,7,-0.0402,265,0,0.0
289,cell2_HPCA,7,-0.0412,265,1,1.0
290,cell2_HPCA,7,-0.0376,265,2,2.0
291,cell2_HPCA,7,0.1031,265,3,3.0
292,cell2_HPCA,7,0.0158,265,4,4.0
293,cell2_HPCA,7,0.0173,265,5,5.0
294,cell2_HPCA,7,-0.1945,265,6,6.0
295,cell2_HPCA,7,-0.3232,265,7,7.0
296,cell2_HPCA,7,-0.4318,265,8,8.0
297,cell2_HPCA,7,-0.4367,265,9,9.0
298,cell2_HPCA,7,-0.4388,265,10,10.0
299,cell2_HPCA,7,-0.4335,265,11,11.0
300,cell2_HPCA,7,-0.3849,265,12,12.0
301,cell2_HPCA,7,-0.4264,265,13,13.0
302,cell2_HPCA,7,-0.422,265,14,14.0
303,cell2_HPCA,7,-0.3752,265,15,15.0
304,cell2_HPCA,7,-0.3705,265,16,16.0
305,cell2_HPCA,7,-0.3745,265,17,17.0
306,cell2_HPCA,7,-0.3766,265,18,18.0
307,cell2_HPCA,7,-0.4016,265,19,19.0
308,cell2_HPCA,7,-0.4373,265,20,20.0
309,cell2_HPCA,7,-0.3939,265,21,21.0
310,cell2_HPCA,7,-0.4101,265,22,22.0
311,cell2_HPCA,7,-0.4267,265,23,23.0
312,cell2_HPCA,7,-0.4098,265,24,24.0
313,cell2_HPCA,7,-0.4552,265,25,25.0
314,cell2_HPCA,7,-0.445,265,26,26.0
315,cell2_HPCA,7,-0.4482,265,27,27.0
316,cell2_HPCA,7,-0.4733,265,28,28.0
317,cell2_HPCA,7,-0.4518,265,29,29.0
318,cell2_HPCA,7,-0.4211,265,30,30.0
319,cell2_HPCA,7,-0.3588,265,31,31.0
320,cell2_HPCA,7,-0.3998,265,32,32.0
321,cell2_HPCA,7,-0.3901,265,33,33.0
322,cell2_HPCA,7,-0.4005,265,34,34.0
323,cell2_HPCA,7,-0.4216,265,35,35.0
324,cell2_HPCA,7,-0.3952,265,36,36.0
325,cell2_HPCA,7,-0.4275,265,37,37.0
326,cell2_HPCA,7,-0.448,265,38,38.0
327,cell2_HPCA,7,-0.4343,265,39,39.0
328,cell2_HPCA,7,-0.4339,265,40,40.0
329,cell2_HPCA,7,-0.3903,265,41,41.0
330,cell2_HPCA,7,-0.3688,265,42,42.0
331,cell2_HPCA,7,-0.3803,265,43,43.0
332,cell2_HPCA,7,-0.4335,265,44,44.0
333,cell2_HPCA,7,-0.482,265,45,45.0
334,cell2_HPCA,7,-0.4671,265,46,46.0
335,cell2_HPCA,7,-0.4339,265,48,47.0
336,cell2_HPCA,8,0.0019,261,0,0.0
337,cell2_HPCA,8,-0.0137,261,1,1.0
338,cell2_HPCA,8,-0.0252,261,2,2.0
339,cell2_HPCA,8,0.0146,261,3,3.0
340,cell2_HPCA,8,0.0224,261,4,4.0
341,cell2_HPCA,8,0.0276,261,5,5.0
342,cell2_HPCA,8,-0.1501,261,6,6.0
343,cell2_HPCA,8,-0.2063,261,7,7.0
344,cell2_HPCA,8,-0.3156,261,8,8.0
345,cell2_HPCA,8,-0.3317,261,9,9.0
346,cell2_HPCA,8,-0.3494,261,10,10.0
347,cell2_HPCA,8,-0.3721,261,11,11.0
348,cell2_HPCA,8,-0.4036,261,12,12.0
349,cell2_HPCA,8,-0.3874,261,13,13.0
350,cell2_HPCA,8,-0.3934,261,14,14.0
351,cell2_HPCA,8,-0.4285,261,15,15.0
352,cell2_HPCA,8,-0.4553,261,16,16.0
353,cell2_HPCA,8,-0.4301,261,17,17.0
354,cell2_HPCA,8,-0.4317,261,18,18.0
355,cell2_HPCA,8,-0.4769,261,19,19.0
356,cell2_HPCA,8,-0.4853,261,20,20.0
357,cell2_HPCA,8,-0.4717,261,21,21.0
358,cell2_HPCA,8,-0.4595,261,22,22.0
359,cell2_HPCA,8,-0.4819,261,23,23.0
360,cell2_HPCA,8,-0.4933,261,24,24.0
361,cell2_HPCA,8,-0.4803,261,25,25.0
362,cell2_HPCA,8,-0.5324,261,26,26.0
363,cell2_HPCA,8,-0.5155,261,27,27.0
364,cell2_HPCA,8,-0.5319,261,28,28.0
365,cell2_HPCA,8,-0.4915,261,29,29.0
366,cell2_HPCA,8,-0.435,261,30,30.0
367,cell2_HPCA,8,-0.4145,261,31,31.0
368,cell2_HPCA,8,-0.4314,261,32,32.0
369,cell2_HPCA,8,-0.3726,261,33,33.0
370,cell2_HPCA,8,-0.4132,261,34,34.0
371,cell2_HPCA,8,-0.4119,261,35,35.0
372,cell2_HPCA,8,-0.3401,261,36,36.0
373,cell2_HPCA,8,-0.3567,261,37,37.0
374,cell2_HPCA,8,-0.3947,261,38,38.0
375,cell2_HPCA,8,-0.3945,261,39,39.0
376,cell2_HPCA,8,-0.4072,261,40,40.0
377,cell2_HPCA,8,-0.3726,261,41,41.0
378,cell2_HPCA,8,-0.3869,261,42,42.0
379,cell2_HPCA,8,-0.4101,261,43,43.0
380,cell2_HPCA,8,-0.4028,261,44,44.0
381,cell2_HPCA,8,-0.4007,261,45,45.0
382,cell2_HPCA,8,-0.4249,261,46,46.0
383,cell2_HPCA,8,-0.4205,261,48,47.0
384,cell2_HPCA,9,-0.0025,261,0,0.0
385,cell2_HPCA,9,-0.0285,261,1,1.0
386,cell2_HPCA,9,-0.0107,261,2,2.0
387,cell2_HPCA,9,0.0421,261,3,3.0
388,cell2_HPCA,9,-0.0003,261,4,4.0
389,cell2_HPCA,9,-0.0075,261,5,5.0
390,cell2_HPCA,9,-0.1066,261,6,6.0
391,cell2_HPCA,9,-0.2457,261,7,7.0
392,cell2_HPCA,9,-0.3136,261,8,8.0
393,cell2_HPCA,9,-0.3546,261,9,9.0
394,cell2_HPCA,9,-0.3477,261,10,10.0
395,cell2_HPCA,9,-0.353,261,11,11.0
396,cell2_HPCA,9,-0.3907,261,12,12.0
397,cell2_HPCA,9,-0.4018,261,13,13.0
398,cell2_HPCA,9,-0.3761,261,14,14.0
399,cell2_HPCA,9,-0.3925,261,15,15.0
400,cell2_HPCA,9,-0.4189,261,16,16.0
401,cell2_HPCA,9,-0.4227,261,17,17.0
402,cell2_HPCA,9,-0.4029,261,18,18.0
403,cell2_HPCA,9,-0.4278,261,19,19.0
404,cell2_HPCA,9,-0.4334,261,20,20.0
405,cell2_HPCA,9,-0.4272,261,21,21.0
406,cell2_HPCA,9,-0.4301,261,22,22.0
407,cell2_HPCA,9,-0.4298,261,23,23.0
408,cell2_HPCA,9,-0.4375,261,24,24.0
409,cell2_HPCA,9,-0.3963,261,25,25.0
410,cell2_HPCA,9,-0.4603,261,26,26.0
411,cell2_HPCA,9,-0.463,261,27,27.0
412,cell2_HPCA,9,-0.4677,261,28,28.0
413,cell2_HPCA,9,-0.4388,261,29,29.0
414,cell2_HPCA,9,-0.3728,261,30,30.0
415,cell2_HPCA,9,-0.3066,261,31,31.0
416,cell2_HPCA,9,-0.3295,261,32,32.0
417,cell2_HPCA,9,-0.2658,261,33,33.0
418,cell2_HPCA,9,-0.2658,261,34,34.0
419,cell2_HPCA,9,-0.2496,261,35,35.0
420,cell2_HPCA,9,-0.2059,261,36,36.0
421,cell2_HPCA,9,-0.2162,261,37,37.0
422,cell2_HPCA,9,-0.2779,261,38,38.0
423,cell2_HPCA,9,-0.2268,261,39,39.0
424,cell2_HPCA,9,-0.2586,261,40,40.0
425,cell2_HPCA,9,-0.1917,261,41,41.0
426,cell2_HPCA,9,-0.1884,261,42,42.0
427,cell2_HPCA,9,-0.2308,261,43,43.0
428,cell2_HPCA,9,-0.2237,261,44,44.0
429,cell2_HPCA,9,-0.2041,261,45,45.0
430,cell2_HPCA,9,-0.2917,261,46,46.0
431,cell2_HPCA,9,-0.2682,261,48,47.0
432,cell2_HPCA,10,0.0592,256,0,0.0
433,cell2_HPCA,10,0.0374,256,1,1.0
434,cell2_HPCA,10,-0.0385,256,2,2.0
435,cell2_HPCA,10,-0.0068,256,3,3.0
436,cell2_HPCA,10,-0.0513,256,4,4.0
437,cell2_HPCA,10,-0.0289,256,5,5.0
438,cell2_HPCA,10,-0.2277,256,6,6.0
439,cell2_HPCA,10,-0.3098,256,7,7.0
440,cell2_HPCA,10,-0.4133,256,8,8.0
441,cell2_HPCA,10,-0.4633,256,9,9.0
442,cell2_HPCA,10,-0.4419,256,10,10.0
443,cell2_HPCA,10,-0.4435,256,11,11.0
444,cell2_HPCA,10,-0.4614,256,12,12.0
445,cell2_HPCA,10,-0.4598,256,13,13.0
446,cell2_HPCA,10,-0.4756,256,14,14.0
447,cell2_HPCA,10,-0.4937,256,15,15.0
448,cell2_HPCA,10,-0.5063,256,16,16.0
449,cell2_HPCA,10,-0.5105,256,17,17.0
450,cell2_HPCA,10,-0.5125,256,18,18.0
451,cell2_HPCA,10,-0.4985,256,19,19.0
452,cell2_HPCA,10,-0.5085,256,20,20.0
453,cell2_HPCA,10,-0.5141,256,21,21.0
454,cell2_HPCA,10,-0.5098,256,22,22.0
455,cell2_HPCA,10,-0.501,256,23,23.0
456,cell2_HPCA,10,-0.5109,256,24,24.0
457,cell2_HPCA,10,-0.5191,256,25,25.0
458,cell2_HPCA,10,-0.5303,256,26,26.0
459,cell2_HPCA,10,-0.5573,256,27,27.0
460,cell2_HPCA,10,-0.5341,256,28,28.0
461,cell2_HPCA,10,-0.4945,256,29,29.0
462,cell2_HPCA,10,-0.4401,256,30,30.0
463,cell2_HPCA,10,-0.4627,256,31,31.0
464,cell2_HPCA,10,-0.4285,256,32,32.0
465,cell2_HPCA,10,-0.3923,256,33,33.0
466,cell2_HPCA,10,-0.3673,256,34,34.0
467,cell2_HPCA,10,-0.3668,256,35,35.0
468,cell2_HPCA,10,-0.3585,256,36,36.0
469,cell2_HPCA,10,-0.3217,256,37,37.0
470,cell2_HPCA,10,-0.3632,256,38,38.0
471,cell2_HPCA,10,-0.3992,256,39,39.0
472,cell2_HPCA,10,-0.3728,256,40,40.0
473,cell2_HPCA,10,-0.3561,256,41,41.0
474,cell2_HPCA,10,-0.3545,256,42,42.0
475,cell2_HPCA,10,-0.3626,256,43,43.0
476,cell2_HPCA,10,-0.3659,256,44,44.0
477,cell2_HPCA,10,-0.3617,256,45,45.0
478,cell2_HPCA,10,-0.3987,256,46,46.0
479,cell2_HPCA,10,-0.3695,256,48,47.0
480,cell2_HPCA,11,-0.0123,249,0,0.0
481,cell2_HPCA,11,-0.0313,249,1,1.0
482,cell2_HPCA,11,0.0339,249,2,2.0
483,cell2_HPCA,11,0.0099,249,3,3.0
484,cell2_HPCA,11,-0.0003,249,4,4.0
485,cell2_HPCA,11,-0.0588,249,5,5.0
486,cell2_HPCA,11,-0.1714,249,6,6.0
487,cell2_HPCA,11,-0.2043,249,7,7.0
488,cell2_HPCA,11,-0.2988,249,8,8.0
489,cell2_HPCA,11,-0.2955,249,9,9.0
490,cell2_HPCA,11,-0.336,249,10,10.0
491,cell2_HPCA,11,-0.3174,249,11,11.0
492,cell2_HPCA,11,-0.3425,249,12,12.0
493,cell2_HPCA,11,-0.2872,249,13,13.0
494,cell2_HPCA,11,-0.2807,249,14,14.0
495,cell2_HPCA,11,-0.3002,249,15,15.0
496,cell2_HPCA,11,-0.2632,249,16,16.0
497,cell2_HPCA,11,-0.2635,249,17,17.0
498,cell2_HPCA,11,-0.3288,249,18,18.0
499,cell2_HPCA,11,-0.3203,249,19,19.0
500,cell2_HPCA,11,-0.3299,249,20,20.0
501,cell2_HPCA,11,-0.3146,249,21,21.0
502,cell2_HPCA,11,-0.346,249,22,22.0
503,cell2_HPCA,11,-0.3681,249,23,23.0
504,cell2_HPCA,11,-0.3707,249,24,24.0
505,cell2_HPCA,11,-0.4132,249,25,25.0
506,cell2_HPCA,11,-0.3,249,26,26.0
507,cell2_HPCA,11,-0.3316,249,27,27.0
508,cell2_HPCA,11,-0.3259,249,28,28.0
509,cell2_HPCA,11,-0.313,249,29,29.0
510,cell2_HPCA,11,-0.24,249,30,30.0
511,cell2_HPCA,11,-0.2447,249,31,31.0
512,cell2_HPCA,11,-0.2318,249,32,32.0
513,cell2_HPCA,11,-0.2325,249,33,33.0
514,cell2_HPCA,11,-0.2053,249,34,34.0
515,cell2_HPCA,11,-0.2342,249,35,35.0
516,cell2_HPCA,11,-0.2242,249,36,36.0
517,cell2_HPCA,11,-0.2083,249,37,37.0
518,cell2_HPCA,11,-0.196,249,38,38.0
519,cell2_HPCA,11,-0.2205,249,39,39.0
